楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
I’m Your Treasure Box ＊あなたは マリンせんちょうを たからばこからみつけた。,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9877242,5532,2,2,0,0
Ahoy!! 我ら宝鐘海賊団☆,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9719676,5188,2,2,0,0
美少女無罪♡パイレーツ,MAXIMUM,17,EXCESSIVE COMPLETE,S,9937597,7261,2,2,0,0
幽霊船戦,MAXIMUM,18,COMPLETE,AA+,9520692,6608,2,2,0,0
ハガネノツルギ,MAXIMUM,17,COMPLETE,AAA+,9861878,0,1,1,0,0
¡¡Fanta∽cramble!!,MAXIMUM,17,COMPLETE,AAA+,9889250,4820,1,1,0,0
残像ニ繋ガレタ追憶ノHIDEAWAY,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9892045,4814,3,3,0,0
Entropic EnĤαncemEnt,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9821673,0,1,1,0,0
トキノコエト,MAXIMUM,18,COMPLETE,AA+,9592469,0,1,1,0,0
Scarlet Pinheel -appassionato-,MAXIMUM,18,COMPLETE,AA+,9587605,6432,1,1,0,0
ミュージックプレイヤー （J-pop Remix）,MAXIMUM,18,COMPLETE,AA+,9631852,6888,1,1,0,0
WobbleTangleFestival (影虎。 & ikaruga_nex's HDM RMX),MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9832327,5031,3,2,0,0
愛昧ショコラーテ,MAXIMUM,16,COMPLETE,S,9901261,4900,1,1,0,0
曇天羊,MAXIMUM,17,EXCESSIVE COMPLETE,S,9907251,5233,2,2,0,0
My song,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9765247,6273,3,3,0,0
ARISE,EXHAUST,17,COMPLETE,AAA+,9817320,0,1,1,0,0
Cuz we <3 this Game,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9810274,0,2,2,0,0
Xeno Gravity,EXHAUST,17,COMPLETE,AAA,9718614,4740,1,1,0,0
NEMSYS ARENA World Hexathlon,EXHAUST,18,COMPLETE,AA+,9506317,5992,2,2,0,0
異次元の孤独～カナタノキミヘ～,EXHAUST,16,COMPLETE,AAA+,9867408,0,1,1,0,0
異次元の孤独～カナタノキミヘ～,MAXIMUM,18,PLAYED,AA,9406532,0,1,0,0,0
Crawl Out Immortal,MAXIMUM,18,COMPLETE,AA,9454056,0,1,1,0,0
SΛMVICΛ,EXHAUST,16,COMPLETE,S,9914296,6846,2,2,0,0
SΛMVICΛ,MAXIMUM,18,PLAYED,AA,9438960,0,1,0,0,0
MΔX FLAVØR,EXHAUST,16,COMPLETE,AA+,9514341,0,2,2,0,0
MΔX FLAVØR,MAXIMUM,18,PLAYED,A+,9210526,5114,1,0,0,0
Ars Magna,MAXIMUM,18,COMPLETE,AA,9442740,0,1,1,0,0
Inevitable Magic,MAXIMUM,18,EXCESSIVE COMPLETE,S,9906687,6043,4,4,0,0
LOVE TONIC,MAXIMUM,18,COMPLETE,AA+,9658869,5735,2,2,0,0
waxing and wanding,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9786973,5985,4,2,0,0
グリーディ・スターズ！,MAXIMUM,18,COMPLETE,AA+,9557904,5692,3,3,0,0
Di-Da-De-Doo,MAXIMUM,18,COMPLETE,AA+,9567839,5013,2,2,0,0
Break Through Δpex,MAXIMUM,18,COMPLETE,AA+,9500185,6935,2,1,0,0
イグジスター,MAXIMUM,18,COMPLETE,AA,9415142,0,1,1,0,0
カミサマ・ネコサマ,MAXIMUM,17,EXCESSIVE COMPLETE,S,9903951,4797,8,8,0,0
花火のおもちゃ箱,EXHAUST,15,ULTIMATE CHAIN,S,9930769,0,1,1,1,0
花火のおもちゃ箱,MAXIMUM,18,PLAYED,A+,9206308,0,1,0,0,0
もぐもぐYUMMY！,MAXIMUM,17,ULTIMATE CHAIN,S,9950711,5058,17,14,1,0
La Nostra Storia!,EXHAUST,16,COMPLETE,AAA+,9867947,0,2,2,0,0
La Nostra Storia!,MAXIMUM,18,PLAYED,D,912765,683,1,0,0,0
V!LLA!N,EXHAUST,15,ULTIMATE CHAIN,S,9938416,0,2,1,1,0
V!LLA!N,MAXIMUM,18,PLAYED,D,3533447,2165,1,0,0,0
ON THE WORLD,EXHAUST,16,COMPLETE,AAA,9762747,0,1,1,0,0
ON THE WORLD,MAXIMUM,18,PLAYED,A+,9212962,6182,4,0,0,0
ちょえちょえまぎか,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9894472,0,8,8,0,0
TOYBOX CANNØN=͟͟͞ Σ≡=｡ﾟ:*.:+｡.☆,EXHAUST,16,ULTIMATE CHAIN,S,9982133,5511,4,4,2,0
TOYBOX CANNØN=͟͟͞ Σ≡=｡ﾟ:*.:+｡.☆,MAXIMUM,18,PLAYED,A+,9090022,0,1,0,0,0
群青纏う朱の槍,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9687500,7095,4,4,0,0
CHOVERY GOOSE!!!,MAXIMUM,18,COMPLETE,AA,9431639,5256,2,2,0,0
トリコエリヌム▽コンチェルト,MAXIMUM,18,COMPLETE,AA,9359564,6688,2,1,0,0
We Are All The Dreamer,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9733494,4295,3,3,0,0
Double or Nothing,MAXIMUM,18,COMPLETE,AA,9498327,5784,2,2,0,0
コントレイル,MAXIMUM,17,EXCESSIVE COMPLETE,S,9910863,4735,4,4,0,0
Virtual to LIVE,MAXIMUM,17,EXCESSIVE COMPLETE,S,9930981,5403,10,9,0,0
Circuit Surfer,EXHAUST,17,EXCESSIVE COMPLETE,S,9927040,5797,2,2,0,0
